Cap Title                                                         First Seen (CT)
-------------------------------------------------------------------------------------
A Christmas Story Boston Scally Cap - Vintage Red and Green Plaid 3/9/2026
Aerosmith Boston Scally Cap - Patchwork                           3/9/2026
Dustin “The Diamond” Poirier Boston Scally Cap - Blue & Grey Plaid 3/9/2026
Happy Gilmore Boston Scally Cap - Beige Plaid                     3/9/2026
Jaws 50th Anniversary Boston Scally Cap - Ocean Blue & Great White 3/9/2026
Kids The Game Day Boston Scally Cap - Blue                        3/9/2026
Kids The Game Day Boston Scally Cap - Grey                        3/9/2026
Kids The Original Boston Scally Cap - Brown                       3/9/2026
Kids The Original Boston Scally Cap - Grey                        3/9/2026
Kids The Scrapper Boston Scally Cap - Charcoal Grey               3/9/2026
Kids The Seersucker Boston Scally Cap - Beige                     3/9/2026
Kids The Seersucker Boston Scally Cap - Light Blue                3/9/2026
Kids The Townie Boston Scally Cap - Blue                          3/9/2026
Kids The Townie Boston Scally Cap - Tan                           3/9/2026
Peaky Blinders Boston Scally Cap - Thomas Shelby First Edition    3/9/2026
The 'Tattoo Artist' Boston Scally Cap - Patchwork                 3/9/2026
The 8 Panel Irish Boston Scally Cap - White Herringbone           3/9/2026
The 8-Panel Irish Boston Scally Cap - Green Herringbone           3/9/2026
The 8-Panel Penalty Box Boston Scally Cap - Power Play Plaid      3/13/2026
The 8-Panel Plaid Trainer Boston Scally Cap - Iron Grey Plaid     3/9/2026
The 8-Panel Plaid Trainer Boston Scally Cap - Steel Blue Plaid    3/9/2026
The Ace Boston Scally Cap - Black                                 3/9/2026
The Aficionado Boston Scally Cap - Homemade Wine                  3/9/2026
The Aficionado Boston Scally Cap - Stogie & Ash                   3/9/2026
The All Heart Boston Scally Cap - Blue & Purple Plaid             3/9/2026
The Autumn Rose Boston Scally Cap - Autumn Plaid                  3/9/2026
The Baker Boy Boston Scally Cap - Apple Pie                       3/13/2026
The Baker Boy Boston Scally Cap - Black                           3/13/2026
The Baker Boy Boston Scally Cap - Brown Herringbone               3/13/2026
The Baker Boy Boston Scally Cap - Dark Olive Herringbone          3/13/2026
The Baker Boy Boston Scally Cap - Grey                            3/13/2026
The Baker Boy Boston Scally Cap - Grey Herringbone                3/13/2026
The Baker Boy Boston Scally Cap - Patriot Blue Herringbone        3/13/2026
The Baker Boy Boston Scally Cap - Pumpkin Pie                     3/13/2026
The Bareknuckle Boston Scally Cap - Black                         3/9/2026
The Bareknuckle Boston Scally Cap - Blue                          3/9/2026
The Bareknuckle Boston Scally Cap - Charcoal & Slate              3/9/2026
The Bareknuckle Boston Scally Cap - Copper & Ash                  3/9/2026
The Bareknuckle Boston Scally Cap - Irish Edition                 3/9/2026
The Bareknuckle Boston Scally Cap - Iron & Gravel                 3/9/2026
The Birdie Boston Scally Cap - Slate Plaid                        3/9/2026
The Black Rose Peaky Boston Scally Cap - Black & Grey Plaid       3/9/2026
The Blacktop Boston Scally Cap - Asphalt                          3/9/2026
The Blacktop Boston Scally Cap - Black                            3/9/2026
The Blarney Rose Boston Scally Cap - Blarney and Moss Plaid       3/9/2026
The Blood Rose Peaky Boston Scally Cap - Maroon Plaid             3/9/2026
The Boondock Boston Scally Cap - Brighton Ale                     3/9/2026
The Boondock Boston Scally Cap - Dark Green                       3/9/2026
The Boondock Boston Scally Cap - Patchwork                        3/9/2026
The Boondock Collectors Edition Boston Scally Cap - Black         3/9/2026
The Boondock Collectors Edition Boston Scally Cap - Grey          3/9/2026
The Bootstrap Boston Scally Cap - Black & Grey Plaid              3/9/2026
The Bourbon Boston Scally Cap - Cask & Barley Plaid               3/9/2026
The Bourbon Boston Scally Cap - Royal Rye Plaid                   3/9/2026
The Bourbon Boston Scally Cap - Smoke & Peat Plaid                3/9/2026
The Bourbon Boston Scally Cap - Steel Oak Plaid                   3/9/2026
The Braveheart Boston Scally Cap - Thistle and Grey               3/9/2026
The Brawler Boston Scally Cap - Black                             3/9/2026
The Brawn Boston Scally Cap - Blue Plaid                          3/9/2026
The Brawn Boston Scally Cap - Grey Plaid                          3/9/2026
The Brawn Boston Scally Cap - Red Plaid                           3/9/2026
The Brogue Boston Scally Cap - Forest Green & Black Plaid         3/9/2026
The Bruin Dubliner Boston Scally Cap - Black                      3/9/2026
The Bruin Dubliner Boston Scally Cap - Grey                       3/9/2026
The Bruin Peaky Boston Scally Cap - Gold and Black Plaid          3/9/2026
The Bruiser Boston Scally Cap - Beige                             3/9/2026
The Bruiser Boston Scally Cap - Black                             3/9/2026
The Bruiser Boston Scally Cap - Combat Blue                       3/9/2026
The Bruiser Boston Scally Cap - OD Green                          3/9/2026
The Bruiser Boston Scally Cap - Stone Grey                        3/9/2026
The Buffalo Insulated Baker Boy Boston Scally Cap - Black and Grey Plaid 3/15/2026
The Buffalo Insulated Baker Boy Boston Scally Cap - Red and Black Plaid 3/15/2026
The Bundy Boston Scally Cap - Patchwork                           3/9/2026
The Caddy Boston Scally Cap - Black                               3/9/2026
The Caddy Boston Scally Cap - Fairway Plaid                       3/9/2026
The Caddy Boston Scally Cap - Light Blue                          3/9/2026
The Caddy Boston Scally Cap - Light Grey                          3/9/2026
The Caddy Boston Scally Cap - Mariner Blue                        3/9/2026
The Cape Codder Boston Scally Cap - Anchor & Saltbox Blue         3/9/2026
The Cape Codder Boston Scally Cap - Fish Hook & Grey Sand         3/9/2026
The Cape Codder Boston Scally Cap - Ship Wheel & Driftwood Grey   3/9/2026
The Celtic Bone Boston Scally Cap - Green                         3/9/2026
The Cheevers Collectors Edition Boston Scally Cap - Black         3/9/2026
The Christmas Peaky Boston Scally Cap - Crimson                   3/9/2026
The Classic Boston Scally Cap - Black                             3/9/2026
The Classic Boston Scally Cap - Grey                              3/9/2026
The Cloverland Boston Scally Cap - Clover Green Plaid             3/9/2026
The Contender Black Watch Boston Scally Cap - Clover & Navy       3/9/2026
The Contender Boston Scally Cap - Ale-Wood Plaid                  3/9/2026
The Contender Boston Scally Cap - Black & Smoke Plaid             3/9/2026
The Cool Air Boston Scally Cap - Black                            3/9/2026
The Cool Air Boston Scally Cap - Dark Grey                        3/9/2026
The Cool Air Boston Scally Cap - White                            3/9/2026
The Cottontail Boston Scally Cap - Light Blue & Lilac Plaid       3/18/2026
The Craic Boston Scally Cap - Emerald and Ale Plaid               3/9/2026
The Cupid Boston Scally Cap - Black & Valentine Plaid             3/9/2026
The Damage Done Collectors Edition Boston Scally Cap - Navy       3/9/2026
The Denim Worker Boston Scally Cap - Denim Blue                   3/9/2026
The Distillery Boston Scally Cap - Blue Mash Plaid                3/9/2026
The Distillery Boston Scally Cap - Firewater Plaid                3/9/2026
The Distillery Boston Scally Cap - Moonshine Plaid                3/9/2026
The Donnybrook Boston Scally Cap - Dark Olive Green Herringbone   3/9/2026
The Donnybrook Boston Scally Cap - Grey Herringbone               3/9/2026
